episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,callback_ok,policy_reward_min/dqn_policy,policy_reward_max/dqn_policy,policy_reward_mean/dqn_policy,custom_metrics/num_batches_mean,custom_metrics/num_batches_min,custom_metrics/num_batches_max,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_dqn_policy_reward,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/dqn_policy/cur_lr,info/learner/dqn_policy/mean_q,info/learner/dqn_policy/min_q,info/learner/dqn_policy/max_q,info/learner/dqn_policy/mean_td_error
-157600.49999991315,-157600.49999991315,-157600.49999991315,48335.0,1,0,48336,False,1,1,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_18-17-29,1600791449,510.3812806606293,510.3812806606293,5052,TS-LSAL0152-N,192.168.178.26,510.3812806606293,0,1,True,-69094.30000009215,-43154.99999989598,-52533.50000000724,36252.0,36252,36252,[-157600.49999991315],[48335],"[-69094.30000009215, -43154.99999989598, -45351.200000033576]",5.791228368536486,0.250955025248152,2.390525721669096,2.812,11378.723,48336,378720,48320,456,12.292341040462427,29.66011560693642,0.04995664739884393,0.76416015625,0.0005000000237487257,-12.469246,-1654.6995,49.73832,937.7112
38173.100000000115,-157600.49999991315,-59713.699999956516,48335.0,1,0,96672,False,2,2,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_18-26-09,1600791969,520.0674984455109,1030.4487791061401,5052,TS-LSAL0152-N,192.168.178.26,1030.4487791061401,0,2,True,-69094.30000009215,20235.299999997605,-19904.566666671977,36253.5,36252,36255,"[38173.100000000115, -157600.49999991315]","[48335, 48335]","[119.39999999990343, 17818.399999992344, 20235.299999997605, -69094.30000009215, -43154.99999989598, -45351.200000033576]",5.813873602052184,0.2532636795332369,2.411817813797355,2.957,10823.399,96672,765408,96576,920,12.023011363636364,30.045028409090904,0.049772727272727274,0.76416015625,0.0005000000237487257,-125.57988,-5252.5186,50.656067,212.91034
42154.59999999166,-157600.49999991315,-25757.599999973794,48335.0,1,0,145008,False,3,3,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_18-34-54,1600792494,524.9518949985504,1555.4006741046906,5052,TS-LSAL0152-N,192.168.178.26,1555.4006741046906,0,3,True,-69094.30000009215,23403.49999998663,-8585.866666673266,36254.0,36252,36255,"[42154.59999999166, -157600.49999991315, 38173.100000000115]","[48335, 48335, 48335]","[1970.5000000004063, 16780.599999985418, 23403.49999998663, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605]",5.846560699232255,0.2541451406967618,2.413997944526104,4.219,7585.022,145008,1152096,144936,1385,11.899999999999999,30.23862359550562,0.04919943820224719,0.76416015625,0.0005000000237487257,39.777832,18.814661,52.57584,-0.18151939
42154.59999999166,-157600.49999991315,-24551.24999998712,48335.0,1,0,193344,False,4,4,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_18-44-24,1600793064,569.825421333313,2125.2260954380035,5052,TS-LSAL0152-N,192.168.178.26,2125.2260954380035,0,4,True,-69094.30000009215,23403.49999998663,-8183.750000005289,36253.5,36252,36255,"[-20932.200000027107, -157600.49999991315, 38173.100000000115, 42154.59999999166]","[48335, 48335, 48335, 48335]","[-11475.900000003243, -8597.800000004954, -858.4999999958719, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605, 1970.5000000004063, 16780.599999985418, 23403.49999998663]",5.901094701339326,0.2556141552512265,2.4400354611122452,14.327,2233.515,193344,1538784,193296,1850,12.247334200260077,30.404551365409624,0.04811443433029909,0.76416015625,0.0005000000237487257,39.294167,-5.087129,63.000534,-0.11139442
42154.59999999166,-552072.5000005167,-130055.50000009302,48335.0,1,0,241680,False,5,5,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_18-53-57,1600793637,572.5862898826599,2697.8123853206635,5052,TS-LSAL0152-N,192.168.178.26,2697.8123853206635,0,5,True,-191506.0999997483,23403.49999998663,-43351.83333332863,36253.2,36252,36255,"[-552072.5000005167, -157600.49999991315, 38173.100000000115, 42154.59999999166, -20932.200000027107]","[48335, 48335, 48335, 48335, 48335]","[-191506.0999997483, -187159.70000025013, -173406.69999986747, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605, 1970.5000000004063, 16780.599999985418, 23403.49999998663, -11475.900000003243, -8597.800000004954, -858.4999999958719]",5.954257802638603,0.25689880656022474,2.4672085733592564,1.497,21378.377,241680,1925472,241656,2315,13.099226804123711,30.548582474226805,0.048144329896907215,0.76416015625,0.0005000000237487257,40.666744,21.516293,66.92102,1249.8953
42154.59999999166,-552072.5000005167,-105207.40000007779,48335.0,1,0,290016,False,6,6,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_19-03-14,1600794194,556.5060596466064,3254.31844496727,5052,TS-LSAL0152-N,192.168.178.26,3254.31844496727,0,6,True,-191506.0999997483,23403.49999998663,-35069.13333332928,36253.5,36252,36255,"[19033.099999998387, -157600.49999991315, 38173.100000000115, 42154.59999999166, -20932.200000027107, -552072.5000005167]","[48335, 48335, 48335, 48335, 48335, 48335]","[7609.899999995008, 6163.000000004129, 5260.200000003152, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605, 1970.5000000004063, 16780.599999985418, 23403.49999998663, -11475.900000003243, -8597.800000004954, -858.4999999958719, -191506.0999997483, -187159.70000025013, -173406.69999986747]",5.995105242081085,0.257717121406426,2.4901371885475045,4.224,7575.433,290016,2312160,290016,2780,12.140397350993377,30.191788079470204,0.04891390728476821,0.76416015625,0.0005000000237487257,29.920315,15.879761,64.23413,624.95306
42154.59999999166,-552072.5000005167,-85403.84285721238,48335.0,1,0,338352,False,7,7,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_19-12-35,1600794755,561.5207467079163,3815.839191675186,5052,TS-LSAL0152-N,192.168.178.26,3815.839191675186,0,7,True,-191506.0999997483,23403.49999998663,-28467.94761904396,36253.71428571428,36252,36255,"[33417.499999980166, -157600.49999991315, 38173.100000000115, 42154.59999999166, -20932.200000027107, -552072.5000005167, 19033.099999998387]","[48335, 48335, 48335, 48335, 48335, 48335, 48335]","[6313.899999996012, 10276.499999998487, 16827.100000009435, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605, 1970.5000000004063, 16780.599999985418, 23403.49999998663, -11475.900000003243, -8597.800000004954, -858.4999999958719, -191506.0999997483, -187159.70000025013, -173406.69999986747, 7609.899999995008, 6163.000000004129, 5260.200000003152]",6.029000229087105,0.258765982786472,2.5092921343234336,4.814,6647.7,338352,2698848,338272,3244,12.523784494086728,30.24664914586071,0.04860709592641261,0.76416015625,0.0005000000237487257,34.285095,-9.015247,69.92483,-0.25726545
47792.39999996023,-552072.5000005167,-68754.31250006579,48335.0,1,0,386688,False,8,8,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_19-21-59,1600795319,563.7913365364075,4379.630528211594,5052,TS-LSAL0152-N,192.168.178.26,4379.630528211594,0,8,True,-191506.0999997483,25662.999999983324,-22918.104166664754,36253.5,36252,36255,"[47792.39999996023, -157600.49999991315, 38173.100000000115, 42154.59999999166, -20932.200000027107, -552072.5000005167, 19033.099999998387, 33417.499999980166]","[48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335]","[8535.999999995658, 13593.399999989952, 25662.999999983324, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605, 1970.5000000004063, 16780.599999985418, 23403.49999998663, -11475.900000003243, -8597.800000004954, -858.4999999958719, -191506.0999997483, -187159.70000025013, -173406.69999986747, 7609.899999995008, 6163.000000004129, 5260.200000003152, 6313.899999996012, 10276.499999998487, 16827.100000009435]",6.058538676760708,0.259305237788656,2.52573192477701,4.667,6857.009,386688,3085536,386632,3709,11.945609436435124,30.345085190039317,0.048440366972477056,0.76416015625,0.0005000000237487257,35.491997,17.05028,58.87242,0.6410754
47792.39999996023,-552072.5000005167,-58707.74444450342,48335.0,1,0,435024,False,9,9,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_19-31-13,1600795873,554.3013548851013,4933.931883096695,5052,TS-LSAL0152-N,192.168.178.26,4933.931883096695,0,9,True,-191506.0999997483,25662.999999983324,-19569.248148146908,36253.333333333336,36252,36255,"[21664.79999999558, -157600.49999991315, 38173.100000000115, 42154.59999999166, -20932.200000027107, -552072.5000005167, 19033.099999998387, 33417.499999980166, 47792.39999996023]","[48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335]","[8163.099999994098, 11668.49999999167, 1833.200000001853, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605, 1970.5000000004063, 16780.599999985418, 23403.49999998663, -11475.900000003243, -8597.800000004954, -858.4999999958719, -191506.0999997483, -187159.70000025013, -173406.69999986747, 7609.899999995008, 6163.000000004129, 5260.200000003152, 6313.899999996012, 10276.499999998487, 16827.100000009435, 8535.999999995658, 13593.399999989952, 25662.999999983324]",6.08187621241564,0.2596380495717927,2.5399120450806025,1.748,18303.0,435024,3472224,434992,4174,11.812751677852349,30.390604026845637,0.04928859060402684,0.76416015625,0.0005000000237487257,45.808994,19.356657,78.352394,-0.8941942
47792.39999996023,-871943.4000008045,-140031.31000013353,48335.0,1,0,483360,False,10,10,9d70e0f333474b1da67f732b029ac6bb,2020-09-22_19-40-34,1600796434,560.9693937301636,5494.9012768268585,5052,TS-LSAL0152-N,192.168.178.26,5494.9012768268585,0,10,True,-300160.90000001184,25662.999999983324,-46677.10333333193,36253.5,36252,36255,"[-871943.4000008045, -157600.49999991315, 38173.100000000115, 42154.59999999166, -20932.200000027107, -552072.5000005167, 19033.099999998387, 33417.499999980166, 47792.39999996023, 21664.79999999558]","[48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335]","[-300160.90000001184, -289680.2000000219, -282102.29999995715, -69094.30000009215, -43154.99999989598, -45351.200000033576, 119.39999999990343, 17818.399999992344, 20235.299999997605, 1970.5000000004063, 16780.599999985418, 23403.49999998663, -11475.900000003243, -8597.800000004954, -858.4999999958719, -191506.0999997483, -187159.70000025013, -173406.69999986747, 7609.899999995008, 6163.000000004129, 5260.200000003152, 6313.899999996012, 10276.499999998487, 16827.100000009435, 8535.999999995658, 13593.399999989952, 25662.999999983324, 8163.099999994098, 11668.49999999167, 1833.200000001853]",6.101804099810453,0.2597345401473417,2.552680197762407,2.61,12260.126,483360,3858912,483352,4639,11.92732095490716,30.47228116710875,0.048846153846153845,0.76416015625,0.0005000000237487257,39.228745,-1.8333915,59.66508,-0.37853172
