episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,callback_ok,policy_reward_min/dqn_policy,policy_reward_max/dqn_policy,policy_reward_mean/dqn_policy,custom_metrics/num_batches_mean,custom_metrics/num_batches_min,custom_metrics/num_batches_max,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_dqn_policy_reward,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/dqn_policy/cur_lr,info/learner/dqn_policy/mean_q,info/learner/dqn_policy/min_q,info/learner/dqn_policy/max_q,info/learner/dqn_policy/mean_td_error
-109151.20000001881,-109151.20000001881,-109151.20000001881,48335.0,1,0,48336,False,1,1,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_11-16-17,1600852577,512.4798829555511,512.4798829555511,14928,TS-LSAL0152-N,192.168.178.26,512.4798829555511,0,1,True,-43207.0,-29275.399999990535,-36383.73333333069,36252.0,36252,36252,[-109151.20000001881],[48335],"[-29275.399999990535, -36668.80000000154, -43207.0]",5.961819335494292,0.25565007634735754,2.292463539092441,3.785,8453.489,48336,378720,48320,456,12.875671852899574,25.235926449787836,0.050141442715700146,0.76416015625,0.0005000000237487257,12.447544,-7.1986766,55.53114,-0.26330352
-109151.20000001881,-214322.99999984208,-161737.09999993045,48335.0,1,0,96672,False,2,2,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_11-24-52,1600853092,515.445761680603,1027.9256446361542,14928,TS-LSAL0152-N,192.168.178.26,1027.9256446361542,0,2,True,-88790.59999998973,-29275.399999990535,-53912.366666672264,36253.5,36252,36255,"[-214322.99999984208, -109151.20000001881]","[48335, 48335]","[-64198.40000005177, -88790.59999998973, -61334.0, -29275.399999990535, -36668.80000000154, -43207.0]",5.9681609738518535,0.25493167402903066,2.289711060545009,3.374,9485.486,96672,765408,96576,920,12.47243319268636,25.52405063291139,0.050028129395218,0.76416015625,0.0005000000237487257,18.47152,2.4231777,61.56085,312.07596
-109151.20000001881,-487871.8999998941,-270448.6999999183,48335.0,1,0,145008,False,3,3,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_11-33-35,1600853615,522.6673321723938,1550.592976808548,14928,TS-LSAL0152-N,192.168.178.26,1550.592976808548,0,3,True,-177185.90000012325,-29275.399999990535,-90149.56666666718,36254.0,36252,36255,"[-487871.8999998941, -109151.20000001881, -214322.99999984208]","[48335, 48335, 48335]","[-149131.99999984773, -177185.90000012325, -161554.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0]",5.98770447400423,0.25467632403312823,2.2879385358760698,3.473,9214.2,145008,1152096,144936,1385,12.44479889042996,25.71497919556172,0.049570041608876556,0.76416015625,0.0005000000237487257,24.433975,-4.8700023,68.72735,-1.5575154
-109151.20000001881,-487871.8999998941,-295795.8249999458,48335.0,1,0,193344,False,4,4,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_11-42-43,1600854163,548.2204570770264,2098.8134338855743,14928,TS-LSAL0152-N,192.168.178.26,2098.8134338855743,0,4,True,-189160.0,-29275.399999990535,-98598.60833333312,36253.5,36252,36255,"[-371837.20000002824, -109151.20000001881, -214322.99999984208, -487871.8999998941]","[48335, 48335, 48335, 48335]","[-94971.8000001128, -87705.39999988016, -189160.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0, -149131.99999984773, -177185.90000012325, -161554.0]",6.020246737961447,0.2546634067479144,2.3034504577367607,3.306,9679.768,193344,1538784,193296,1850,12.716201859229747,25.87649402390438,0.04960159362549801,0.76416015625,0.0005000000237487257,17.830738,-85.60526,77.40958,623.51
-109151.20000001881,-487871.8999998941,-270619.93999995,48335.0,1,0,241680,False,5,5,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_11-51-59,1600854719,555.8744645118713,2654.6878983974457,14928,TS-LSAL0152-N,192.168.178.26,2654.6878983974457,0,5,True,-189160.0,-29275.399999990535,-90206.64666666716,36253.2,36252,36255,"[-169916.3999999669, -109151.20000001881, -214322.99999984208, -487871.8999998941, -371837.20000002824]","[48335, 48335, 48335, 48335, 48335]","[-57499.40000004138, -49450.99999996846, -62966.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0, -149131.99999984773, -177185.90000012325, -161554.0, -94971.8000001128, -87705.39999988016, -189160.0]",6.055903766960277,0.25472626598289777,2.3212795447243115,3.086,10370.47,241680,1925472,241656,2315,12.637926509186352,25.942650918635174,0.04923884514435695,0.76416015625,0.0005000000237487257,1.1138058,-197.07019,129.00098,321.83127
-20128.59999998205,-487871.8999998941,-228871.3833332887,48335.0,1,0,290016,False,6,6,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_12-01-24,1600855284,564.5260629653931,3219.2139613628387,14928,TS-LSAL0152-N,192.168.178.26,3219.2139613628387,0,6,True,-189160.0,-1238.0,-76290.46111111142,36253.5,36252,36255,"[-20128.59999998205, -109151.20000001881, -214322.99999984208, -487871.8999998941, -371837.20000002824, -169916.3999999669]","[48335, 48335, 48335, 48335, 48335, 48335]","[-11592.199999987915, -7298.400000010095, -1238.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0, -149131.99999984773, -177185.90000012325, -161554.0, -94971.8000001128, -87705.39999988016, -189160.0, -57499.40000004138, -49450.99999996846, -62966.0]",6.093806586693838,0.2547609047027842,2.3378755644377933,3.576,8949.34,290016,2312160,290016,2780,12.464599483204134,25.99418604651163,0.048320413436692515,0.76416015625,0.0005000000237487257,26.197853,-157.0435,97.741486,0.51189137
2513.899999999905,-487871.8999998941,-195816.34285710458,48335.0,1,0,338352,False,7,7,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_12-10-47,1600855847,563.0912845134735,3782.3052458763123,14928,TS-LSAL0152-N,192.168.178.26,3782.3052458763123,0,7,True,-189160.0,10833.499999996691,-65272.11428571497,36253.71428571428,36252,36255,"[2513.899999999905, -109151.20000001881, -214322.99999984208, -487871.8999998941, -371837.20000002824, -169916.3999999669, -20128.59999998205]","[48335, 48335, 48335, 48335, 48335, 48335, 48335]","[7995.399999994474, 10833.499999996691, -16315.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0, -149131.99999984773, -177185.90000012325, -161554.0, -94971.8000001128, -87705.39999988016, -189160.0, -57499.40000004138, -49450.99999996846, -62966.0, -11592.199999987915, -7298.400000010095, -1238.0]",6.128272984577954,0.2548692841936611,2.352849015000273,3.467,9228.772,338352,2698848,338272,3244,12.742357512953369,26.078886010362694,0.0483160621761658,0.76416015625,0.0005000000237487257,21.658672,-70.0412,107.7688,1.5904183
2513.899999999905,-3758212.59999993,-641115.8749999577,48335.0,1,0,386688,False,8,8,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_12-20-08,1600856408,561.0561099052429,4343.361355781555,14928,TS-LSAL0152-N,192.168.178.26,4343.361355781555,0,8,True,-1257179.0,10833.499999996691,-213705.291666668,36253.5,36252,36255,"[-3758212.59999993, -109151.20000001881, -214322.99999984208, -487871.8999998941, -371837.20000002824, -169916.3999999669, -20128.59999998205, 2513.899999999905]","[48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335]","[-1251428.6000006003, -1249604.9999994175, -1257179.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0, -149131.99999984773, -177185.90000012325, -161554.0, -94971.8000001128, -87705.39999988016, -189160.0, -57499.40000004138, -49450.99999996846, -62966.0, -11592.199999987915, -7298.400000010095, -1238.0, 7995.399999994474, 10833.499999996691, -16315.0]",6.15852464635519,0.2549981387707444,2.3660328080017186,3.388,9444.836,386688,3085536,386632,3709,12.935630689206763,26.286215864759427,0.04873862158647594,0.76416015625,0.0005000000237487257,10.473251,-178.82571,94.59799,621.9223
2513.899999999905,-3758212.59999993,-593815.611111078,48335.0,1,0,435024,False,9,9,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_12-29-16,1600856956,547.6155445575714,4890.976900339127,14928,TS-LSAL0152-N,192.168.178.26,4890.976900339127,0,9,True,-1257179.0,10833.499999996691,-197938.53703703792,36253.333333333336,36252,36255,"[-215413.5000000393, -109151.20000001881, -214322.99999984208, -487871.8999998941, -371837.20000002824, -169916.3999999669, -20128.59999998205, 2513.899999999905, -3758212.59999993]","[48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335]","[-79116.20000002619, -73828.29999996653, -62469.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0, -149131.99999984773, -177185.90000012325, -161554.0, -94971.8000001128, -87705.39999988016, -189160.0, -57499.40000004138, -49450.99999996846, -62966.0, -11592.199999987915, -7298.400000010095, -1238.0, 7995.399999994474, 10833.499999996691, -16315.0, -1251428.6000006003, -1249604.9999994175, -1257179.0]",6.182198210274951,0.25507803626280123,2.377378523271705,3.596,8898.374,435024,3472224,434992,4174,12.689006622516557,26.128476821192052,0.04970860927152318,0.76416015625,0.0005000000237487257,-172.17389,-4766.7676,217.85992,825.5923
2513.899999999905,-3758212.59999993,-538393.9299999706,48335.0,1,0,483360,False,10,10,3ae204290f0d4e56b7f6a798f7b3a513,2020-09-23_12-38-49,1600857529,573.0057947635651,5463.982695102692,14928,TS-LSAL0152-N,192.168.178.26,5463.982695102692,0,10,True,-1257179.0,10833.499999996691,-179464.6433333341,36253.5,36252,36255,"[-39598.8000000049, -109151.20000001881, -214322.99999984208, -487871.8999998941, -371837.20000002824, -169916.3999999669, -20128.59999998205, 2513.899999999905, -3758212.59999993, -215413.5000000393]","[48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335, 48335]","[-5427.80000000352, -829.999999994686, -33341.0, -29275.399999990535, -36668.80000000154, -43207.0, -64198.40000005177, -88790.59999998973, -61334.0, -149131.99999984773, -177185.90000012325, -161554.0, -94971.8000001128, -87705.39999988016, -189160.0, -57499.40000004138, -49450.99999996846, -62966.0, -11592.199999987915, -7298.400000010095, -1238.0, 7995.399999994474, 10833.499999996691, -16315.0, -1251428.6000006003, -1249604.9999994175, -1257179.0, -79116.20000002619, -73828.29999996653, -62469.0]",6.205161840584264,0.25527251650153915,2.387863678724048,3.573,8955.013,483360,3858912,483352,4639,15.446134347275033,26.335741444866922,0.047325728770595696,0.76416015625,0.0005000000237487257,54.5481,-41.232185,113.60892,-1.8713055
